publisher,url,date_of_publication,text
nytimes,https://www.nytimes.com/2022/05/30/world/europe/eu-reaches-agreement-on-a-russian-oil-import-ban.html,2022-05-31T00:00:00,"BRUSSELS — European Union leaders have reached a landmark political agreement to ban the vast majority of Russian oil imports by the end of the year, a measure that was considered impossible in the early stages of the Russian invasion of Ukraine because of the bloc’s high dependency on the fuel. |  | In the coming days, negotiators still need to work out technical details of the agreement, but E.U. leaders said they had agreed to ban Russian oil arriving in the bloc by sea by the end of the year, cutting off two-thirds of the E.U.’s total imports. |  | Hungary and its prime minister, Viktor Orban, an occasional ally of Mr. Putin, had been blocking the measure. To win Hungary’s approval, European leaders agreed to allow pipeline imports. |  | Five European countries import Russian oil by pipeline. Germany and Poland agreed to cut off all Russian imports, including those arriving by pipeline, by the end of the year, but Hungary, Slovakia and the Czech Republic made no such pledge. The three countries are very dependent on Russian oil imports, but Slovakia and the Czech Republic have already indicated that they were working toward switching their supply away from Russia."
nytimes,https://www.nytimes.com/2022/05/30/theater/notes-on-killing-review.html,2022-05-31T00:00:00,"“Notes on Killing Seven Oversight, Management and Economic Stability Board Members,” a hot and bothered new play by Mara Vélez Meléndez, is a psychodrama with an emphasis on — and I mean this in the nicest possible way — psycho. |  | A coproduction of Soho Rep and the Sol Project, the show imagines a young woman with a personal mission to assassinate the bureaucrats responsible for restructuring Puerto Rico’s debt and the queer receptionist who abets her. A political allegory, a savage drag show and a folie à deux with far too much gunplay for anyone who has lived through the past week’s news, “Notes” is a trigger warning writ large and in glitter, a fever dream with streamers. |  | For those who don’t follow Puerto Rico’s political and economic fortunes, a brief history lesson will prove useful. By 2016, Puerto Rico’s credit crisis had worsened significantly, with the island owing more than $70 billion. In a move with celebrity backing — Lin-Manuel Miranda was at the time a supporter — Congress passed the Puerto Rican Oversight, Management and Economic Stability Act, known as Promesa, which gave an unelected board the power to restructure the island’s debt and impose fiscal austerity. Few of that board’s members lived in Puerto Rico, which added to criticism of the act as colonialist. |  | These circumstances have brought Lolita (Christine Carmela), a trans Puerto Rican woman, to the New York City offices of the Promesa board, with a gun in her purse. Lolita is not her real name, but she has styled herself, she tells us, after Lolita Lebrón, a Puerto Rican nationalist who participated in an armed attack on the House of Representatives in 1954. That attack wounded five members of Congress; our Lolita aims for a greater body count. Yet before she can assassinate anyone, a receptionist (Samora la Perdida) intercepts her and takes her firearm away."
nytimes,https://www.nytimes.com/es/2022/05/30/espanol/nueva-york-trabajo-construccion.html,2022-05-31T00:00:00,"Estaban transformando una centenaria fábrica de hielo del Bronx en una escuela charter. El lugar se convirtió en una de las obras más mortíferas de la ciudad de Nueva York en casi dos décadas. |  | 30 de mayo de 2022 |  | Dos obreros suben a un ascensor en la parte alta de un edificio de cinco pisos que se está remodelando en el Bronx. Llevan cascos de construcción, chalecos fluorescentes y mascarillas, pero ninguno de esos accesorios los protegerá. |  | El hombre de mayor edad, un supervisor, rara vez habla de algo que no sea del trabajo que es necesario hacer en esta construcción ubicada en el número 20 de Bruckner Boulevard. Pero él y su compañero de trabajo, un hombre más joven, se han hecho amigos gracias a un ritual matutino: uno compra el café y el otro, las donas. |  | El trabajo en cuestión es llevar hasta la planta baja dos contenedores de escombros de construcción que les llegan a la cintura. Las puertas se cierran y pulsan un botón. El ascensor se estremece y luego cae. El suelo parece desaparecer bajo las botas de trabajo de los hombres. |  | Los hombres gritan mientras se desploman. Un estruendo y luego la quietud, salvo por unas nubes de polvo revuelto."
nytimes,https://www.nytimes.com/es/2022/05/30/espanol/elecciones-colombia-petro-hernandez.html,2022-05-31T00:00:00,"Pero la frustración de los votantes con la pobreza, la desigualdad y la inseguridad, que se vio exacerbada por la pandemia, junto con una creciente aceptación de la izquierda luego del proceso de paz firmado en 2016 con la guerrilla colombiana más grande, las Fuerzas Armadas Revolucionarias de Colombia (FARC), pareció cambiar la dinámica. |  | Para 2022, Petro, quien durante mucho tiempo ha sido el rostro combativo de la izquierda colombiana, pensó que era su momento. Y en los meses previos a las elecciones del 29 de mayo, los votantes acudieron en masa a sus propuestas: una amplia expansión de los programas sociales, detener todas las nuevas perforaciones petroleras en un país que depende de las exportaciones de petróleo y un enfoque en la justicia social. |  | El argumento era: izquierda contra derecha, cambio contra continuidad, la élite contra el resto del país. |  | Pero el improbable ascenso de Hernández refleja tanto un rechazo a la élite conservadora como a Petro. |  | También revela que la narrativa nunca fue tan simple. |  | Hernández, quien obtuvo el 28 por ciento de los votos, ha atraído a una amplia franja de votantes ansiosos por un cambio pero que nunca podría estar de acuerdo con Petro. |  | Petro es un exguerrillero que fue miembro de un grupo rebelde llamado el Movimiento 19 de abril (M-19) en un país donde los rebeldes aterrorizaron a la población durante décadas. Y es de izquierda en una nación que comparte frontera con Venezuela, un país sumido en una crisis humanitaria por un gobierno autoritario que reivindica a la izquierda."
nytimes,https://www.nytimes.com/zh-hans/2022/05/30/world/asia/china-beijing-shanghai-covid.html,2022-05-31T00:00:00,观点：美国真的能保护台湾吗？斯坦福大学弗里曼·斯波利国际问题研究所中心研究员Oriana Skylar Mastro在时报撰文写道：我参与的多次沙盘军演和战旗推演都预示，如果台湾发生冲突，与中国的对抗将给美军造成巨大消耗，却不能确保美国击退所有中国军队。（阅读本文中文版）
nytimes,https://www.nytimes.com/2022/05/30/crosswords/daily-puzzle-2022-05-31.html,2022-05-31T00:00:00,"37D. “Wreck room?” is a play on the household “rec room.” A rec room is a room for playing, while a “wreck room” is a room that is a wreck, which might also be called a STY. |  | Today’s Theme |  | This puzzle contains four theme entries and a revealer in the long Across positions. The theme entries are all things that you might need a pin to use — or, as the revealer suggests about each of them, LET’S PUT A PIN IN IT (“Suggestion to defer discussion … and what might be said of 17-, 25-, 46- and 60-Across”). This is a fun phrase that the constructors interpret literally, relying on several meanings of the word PIN. |  | First, at 17A, we have VOODOO DOLL. To take just a brief detour, I have heard from solvers who were (rightly!) concerned about the misrepresentation of VOODOO or hoodoo in previous crossword puzzles. I did a little more reading to understand how we got it wrong, and I think this entry and clue (“Figure in many hexes”) are also problematic. VOODOO as a practiced religion has been reduced to racialized pop culture tropes (like sticking pins in a VOODOO DOLL, which is not actually a component of the religion). I think the New York Times Crossword can do better about this. |  | The rest of the theme entries are also not without controversy. I predict an avalanche of comments from solvers about the theme entry at 60A, A.T.M. MACHINE. As any pedant can tell you, the M of A.T.M. stands for MACHINE, so this entry could be read as AUTOMATED TELLER MACHINE MACHINE. I am not troubled by this particular entry because I think A.T.M. MACHINE is very much in-the-language, but I suspect many crossword solvers (whom I would never accuse of being pedantic types!) are going to have some choice words about it. |  | The other two theme entries are CLOTH DIAPER at 25A (“Alternative to Huggies or Luvs”) and BOWLING LANE (“Place for splits and spares”). Both are definitely things you could put a PIN (or several PINs) in. Let’s hear from Mr. Buchbinder and Mr. Wilber. |  | Constructor Notes |  | Brad Wilber (writing for the team): Sam and I have been published as a team elsewhere, but I’m proud to be part of his first collaboration in The Times. I feel enriched by working with someone of his talent, and also by having some glimpses into his life as a history teacher and a dad, since my late father taught high school social studies. Having this puzzle reach print is especially satisfying because there were so many levels of decision-making for us. Since we ended up with drafts at two different word counts, did the additional black square help or hurt our chances? Should the revealer be a grid-spanner, or something shorter like “PUT A PIN IN (IT)”? If we kept to the most obvious definition of pin, would the tautness be congratulated, or would the editorial team respond more positively to a variety of pins? When Sam proposed we flesh out this idea together, he had a worksheet with many senses of “pin.” Ultimately, we submitted a version set entirely in the realm of pins as fasteners, so when Will asked us to revise the bottom half of the puzzle and swap in BOWLING LANE and A.T.M. MACHINE for our originals, we had to laugh at the déjà vu. |  | Want to Submit Crosswords to The New York Times? |  | The New York Times Crossword has an open submission system, and you can submit your puzzles online. |  |  |  | For tips on how to get started, read our series, “How to Make a Crossword Puzzle.” |  | The Tipping Point |  | Almost finished solving but need a bit more help? We’ve got you covered. |  | Warning: There be spoilers ahead, but subscribers can take a peek at the answer key. |  | Trying to get back to the puzzle page? Right here. |  | Your thoughts?"
nytimes,https://www.nytimes.com/2022/05/30/us/politics/peter-navarro-jan-6-subpoena.html,2022-05-31T00:00:00,"In April, Ali Alexander, a prominent “Stop the Steal” organizer, revealed that he had been served with his own grand jury subpoena, asking for records about people who organized, spoke at or provided security for pro-Trump rallies in Washington after the election, including Mr. Trump’s incendiary event near the White House on Jan. 6. |  | Mr. Alexander’s subpoena also sought records about members of the executive or legislative branches who may have helped to plan or execute the rallies, or who tried to “obstruct, influence, impede or delay” the certification of the 2020 presidential election. |  | Last week, word emerged that the same grand jury, sitting in Washington, had more recently issued a different set of subpoenas requesting information about the role that a group of lawyers close to Mr. Trump may have had played in a plan to create alternate slates of pro-Trump electors in key swing states that were won by Joseph R. Biden Jr. |  | The lawyers named in the subpoena included Mr. Trump’s personal attorney, Rudolph W. Giuliani; Jenna Ellis, who worked with Mr. Giuliani; John Eastman, one of the former president’s chief legal advisers during the postelection period; and Kenneth Chesebro, who wrote a pair of memos laying out the details of the plan. |  | Those subpoenas also requested information about any members of the Trump campaign who may been involved with the alternate elector scheme and about several Republican officials in Georgia who took part in it, including David Shafer, the chairman of the Georgia Republican Party. |  | Mr. Navarro’s subpoena, by his own account, was issued by a different grand jury. |  | In the draft of the suit he said he intends to file, he argues that only Mr. Trump can authorize him to testify. He asks a judge to instruct Mr. Graves, the U.S. attorney in Washington, to negotiate his appearance with Mr. Trump. Mr. Navarro cites Mr. Trump’s invocation of executive privilege over materials related to the attack on the Capitol. |  | “The executive privilege invoked by President Trump is not mine or Joe Biden’s to waive,” Mr. Navarro writes. “Rather, as with the committee, the U.S. attorney has constitutional and due process obligations to negotiate my appearance.”"
nytimes,https://www.nytimes.com/2022/05/30/us/tornado-minnesota-forada.html,2022-05-31T00:00:00,"A possible tornado struck Forada, a city of about 160 residents in central Minnesota, on Monday, downing power lines and damaging as many as 100 homes, a county official said. |  | Julie Anderson, the director of emergency management for Douglas County, Minn., said there were no immediate reports of significant injuries or deaths in Forada, about 135 miles northwest of Minneapolis. |  | She said that rescuers went door to door to check on residents as utility crews cleared downed power lines and ensured that the lines were deactivated for safety. |  | She said the damage was limited to part of Forada and “wasn’t widespread.” |  | Speaking to KARE-TV from one hard-hit street, Stephen VanLuik, Forada’s fire chief, expressed amazement at the damage."
nytimes,https://www.nytimes.com/es/2022/05/30/espanol/opinion/viruela-mono-covid.html,2022-05-31T00:00:00,"Incluso si a fin de cuentas no es necesaria la aplicación generalizada de pruebas, el costo de estar preparados es bajo en comparación con el enorme costo que pagaríamos si las circunstancias nos toman por sorpresa. Si hay una mayor capacidad para realizar pruebas de viruela del mono en el país, las autoridades de salud pública podrán intervenir y desacelerar la posible diseminación del brote. |  | Los CDC deberían dar a conocer de manera generalizada la información sobre sus protocolos de prueba de viruela del mono para que más laboratorios puedan desarrollar y realizar sus propias pruebas de detección de esta enfermedad. La FDA también debería ofrecerles orientación a todos los laboratorios autorizados para realizar pruebas de laboratorio complejas y aclarar qué tipo de facultad regulatoria, en su caso, implementarían sobre las pruebas de detección de viruela del mono desarrolladas por otras partes. |  | Los CDC establecen que cualquier departamento de salud estatal que confirme que un paciente tiene un orthopoxvirus debe asumir que la persona tiene viruela del mono y proceder de inmediato a aplicar medidas de contención, como el rastreo de contactos. La agencia también afirma que mantiene monitoreado el número de equipos de prueba disponibles en caso de que sea necesario incrementarlo. |  | Por fortuna, hay vacunas contra la viruela del mono y un antiviral autorizado por la FDA, que están listos en la Reserva Estratégica Nacional. Es esencial darles prioridad a las personas en riesgo inmediato de contraer la viruela del mono, como aquellas con algún contacto cercano reciente. Vacunar a quienes no han estado expuestos —práctica llamada vacunación en anillo— puede evitar que continúe la propagación. También debe considerarse la vacunación proactiva de quienes están en mayor riesgo. Para activar estas medidas, así como el despliegue efectivo de antivirales, es necesario el diagnóstico rápido de casos, por lo que las pruebas deberían tener carácter prioritario, junto con la vacunación. |  | Incluso si continúan los casos entre hombres que tienen relaciones sexuales con otros hombres, con seguridad no seremos los únicos que se enfermen. Las epidemias de enfermedades infecciosas están determinadas por el patrón y la frecuencia del contacto entre las personas, así como el patógeno y la inmunidad y susceptibilidad de la población. La COVID-19 nos enseñó que las epidemias son impredecibles, y la salud de los seres humanos tiene conexiones globales: las variantes y los virus que surgen en un país pueden con facilidad cruzar fronteras y llegar a otro. |  | En nuestra comunidad de personas queer podemos crear conciencia sobre la posible presencia de una nueva enfermedad, al igual que muchas otras infecciones comunes. En el pasado, compartir lo que sabemos sobre nuestra salud y las opciones para intervenir con servicios libres de estigmas nos ha permitido guiar a nuestros médicos y comunidades. Cuando comenzaron a presentarse brotes de meningitis bacteriana en comunidades gays, las autoridades sanitarias ofrecieron vacunas en sitios de vida nocturna activa y lugares donde los hombres se reunían para tener relaciones sexuales. Debemos aprovechar la proximidad del verano y las festividades del Orgullo LGBT para poner en marcha iniciativas similares y ayudar a mantenernos seguros. |  | Las autoridades de salud pública deben desarrollar e implementar una estrategia de realización de pruebas y vacunación centrada en las comunidades con más probabilidades de resultar afectadas. Si, por ejemplo, las pruebas y la información dirigida a la comunidad se concentran solo en las ciudades principales, podrían acentuarse las desigualdades sanitarias por raza, clase y ubicación geográfica. No podemos permitir que la viruela del mono se convierta en una enfermedad de quienes no tienen acceso a los servicios de salud."
nytimes,https://www.nytimes.com/2022/05/30/us/omaha-chemical-fire.html,2022-05-31T00:00:00,"The authorities in Omaha urged some residents to evacuate on Monday after a three-alarm fire at a chemical plant sent clouds of black smoke billowing over the city, officials said. |  | The fire was detected just before 7 p.m. at a factory owned by Nox-Crete, said Scott Fitzpatrick, a battalion chief with the Omaha Fire Department. The company is based in Omaha, a city of nearly half a million people in Nebraska, and manufactures chemical products. |  | Fire crews that entered the factory on Monday evening left after discovering propane and other chemicals inside, and the front side of the building later collapsed, Chief Fitzpatrick said. |  | There were no immediate reports of injuries. The authorities, however, urged people who live near the Nox-Crete plant, which is south of downtown, to evacuate on Monday night because smoke from the fire was threatening to blow over a residential area, Chief Fitzpatrick said."
